Rank,CNG,Prospect,College,POS,Ht,Wt,CLS,Bio_URL
196,+30,Will Kacmarek,Ohio State,TE,"6'5""",261,GR,https://ohiostatebuckeyes.com/sports/football/roster/will-kacmarek/12274
197,-25,D.J. Campbell,Texas,OG,"6'3""",313,SR,https://texaslonghorns.com/sports/football/roster/dj-campbell/14416
198,+45,Red Murdock,Buffalo,ILB,"6'2""",232,RJR,https://ubbulls.com/sports/football/roster/red-murdock/8408
199,--,Skyler Gill-Howard,Texas Tech,DL5T,"6'1""",280,SR,https://texastech.com/sports/football/roster/skyler-gillhoward/13785
200,+75,Febechi Nwaiwu,Oklahoma,OG,"6'4""",319,RSR,https://soonersports.com/sports/football/roster/febechi-nwaiwu/17354
201,-20,Jager Burton,Kentucky,OC,"6'4""",312,RSR,https://ukathletics.com/sports/football/roster/player/jager-burton/
202,--,Lander Barton,Utah,ILB,"6'5""",233,SR,https://utahutes.com/sports/football/roster/lander-barton/16550
203,--,Josh Cuevas,Alabama,TE,"6'3""",245,RSR,https://rolltide.com/sports/football/roster/josh-cuevas/13778
204,-20,Jaeden Roberts,Alabama,OG,"6'5""",333,RSR,https://rolltide.com/sports/football/roster/jaeden-roberts/13831
205,--,Kaelon Black,Indiana,RB,"5'10""",211,RSR,https://iuhoosiers.com/sports/football/roster/kaelon-black/20915
206,+90,Logan Taylor,Boston College,OG,"6'7""",314,RSR,https://bceagles.com/sports/football/roster/logan-taylor/25629
207,--,Aamil Wagner,Notre Dame,OT,"6'6""",306,RJR,https://fightingirish.com/roster/aamil-wagner/
208,--,Landon Robinson,Navy,DL5T,"6'0""",287,SR,https://navysports.com/sports/football/roster/landon-robinson/28666
209,+40,Eric Gentry,USC,OLB,"6'7""",221,RSR,https://usctrojans.com/sports/football/roster/eric-gentry/17544
210,-40,C.J. Daniels,Miami (FL),WR,"6'2""",202,RSR,https://lsusports.net/sports/fb/roster/player/cj-daniels/
211,+35,Enrique Cruz Jr.,Kansas,OT,"6'6""",313,RSR,https://kuathletics.com/sports/football/roster/enrique-cruz-jr/16503
212,--,Adam Randall,Clemson,RB,"6'3""",232,SR,https://clemsontigers.com/sports/football/roster/adam-randall/
213,--,Josh Cameron,Baylor,WR,"6'1""",220,RSR,https://baylorbears.com/sports/football/roster/josh-cameron/14058
214,-25,Micah Morris,Georgia,OG,"6'5""",334,RSR,https://georgiadogs.com/sports/football/roster/micah-morris/9555
215,--,Pat Coogan,Indiana,OC,"6'5""",311,RSR,https://fightingirish.com/roster/pat-coogan/
216,--,Patrick Payton,LSU,EDGE,"6'5""",260,RSR,https://lsusports.net/sports/fb/roster/player/patrick-payton/
217,+40,Noah Whittington,Oregon,RB,"5'8""",205,RSR,https://goducks.com/sports/football/roster/noah-whittington/17430
218,+30,Kendrick Law,Kentucky,WR,"5'11""",203,SR,https://ukathletics.com/sports/football/roster/player/kendrick-law/
219,-35,Sawyer Robertson,Baylor,QB,"6'4""",216,RSR,https://baylorbears.com/sports/football/roster/sawyer-robertson/14099
220,--,Trey Moore,Texas,EDGE,"6'2""",243,RSR,https://texaslonghorns.com/sports/football/roster/trey-moore/14374
221,--,Dae'Quan Wright,Ole Miss,TE,"6'4""",246,SR,https://olemisssports.com/sports/football/roster/dae-quan-wright/5293
222,+40,Malik Benson,Oregon,WR,"6'0""",189,RSR,https://goducks.com/sports/football/roster/malik-benson/17436
223,--,Quintayvious Hutchins,Boston College,EDGE,"6'3""",233,RSR,https://bceagles.com/sports/football/roster/quintayvious-hutchins/25598
224,--,Vincent Anthony,Duke,EDGE,"6'6""",258,SR,https://goduke.com/sports/football/roster/vincent-anthony-jr-/21728
225,+125,Rene Konga,Louisville,DL5T,"6'4""",300,RSR,https://gocards.com/sports/football/roster/rene-konga/15881
226,-40,Lorenzo Styles Jr.,Ohio State,S,"6'1""",194,GR,https://ohiostatebuckeyes.com/sports/football/roster/lorenzo-styles-jr-/12316
227,--,Thaddeus Dixon,North Carolina,CB,"6'1""",195,RSR,https://goheels.com/sports/football/roster/thaddeus-dixon/26893
228,--,Justin Jefferson,Alabama,ILB,"6'0""",223,RSR,https://rolltide.com/sports/football/roster/justin-jefferson/13798
229,--,Caleb Douglas,Texas Tech,WR,"6'3""",206,SR,https://texastech.com/sports/football/roster/caleb-douglas/13706
230,--,Ethan Burke,Texas,EDGE,"6'6""",259,SR,https://texaslonghorns.com/sports/football/roster/ethan-burke/14439
231,--,Roman Hemby,Indiana,RB,"6'0""",207,RSR,https://iuhoosiers.com/sports/football/roster/roman-hemby/20162
232,+35,Fa'alili Fa'amoe,Wake Forest,OT,"6'5""",311,RSR,https://godeacs.com/sports/football/roster/faalili-faamoe/8700
233,--,Collin Wright,Stanford,CB,"6'0""",188,RJR,https://gostanford.com/sports/football/roster/player/collin-wright
234,+35,Matt Gulbin,Michigan State,OC,"6'4""",305,RSR,https://msuspartans.com/sports/football/roster/matt-gulbin/16042
235,--,Owen Heinecke,Oklahoma,ILB,"6'2""",227,RJR,https://soonersports.com/sports/football/roster/owen-heinecke/19334
236,--,Max Bredeson,Michigan,FB,"6'2""",252,RSR,https://mgoblue.com/sports/football/roster/max-bredeson/26696
237,+20,Cameron Ball,Arkansas,DL3T,"6'4""",310,RSR,https://arkansasrazorbacks.com/roster/cameron-ball/
238,--,Jaydn Ott,Oklahoma,RB,"6'0""",210,SR,https://calbears.com/sports/football/roster/jaydn-ott/24281
239,-45,Eric McAlister,TCU,WR,"6'4""",194,RSR,https://gofrogs.com/sports/football/roster/eric-mcalister/17421
240,+40,Alex Harkey,Oregon,OG,"6'6""",308,RSR,https://goducks.com/sports/football/roster/alex-harkey/17437
241,--,T.J.Hall,Iowa,CB,"6'1""",195,SR,https://hawkeyesports.com/sports/football/roster/player/tj-hall
242,--,Deven Eastern,Minnesota,DL1T,"6'5""",315,RSR,https://gophersports.com/sports/football/roster/deven-eastern/23027
243,--,Zach Durfee,Washington,EDGE,"6'5""",247,RSR,https://gohuskies.com/sports/football/roster/zach-durfee/16644
244,-75,Eric Rivers,Georgia Tech,WRS,"5'10""",176,RSR,https://ramblinwreck.com/roster/eric-rivers/
